__family,mean_test_btc,mean_train_btc,fees,turnover,turns,n,std_test,score
"(0.016, 0.009, 200, 240, 0.7)",1.08275867127556,1.2736777646530726,0.0045011874299963,20.03436408621892,38.0,1,,11.142939526955022
"(0.033, 0.011, 300, 240, 0.3)",1.105787560825133,1.709584050837318,0.0043276095533743,19.27052529401192,268.0,1,,11.07172259827772
"(0.016, 0.01, 300, 120, 1.0)",1.039152009518406,1.488363330723394,0.004439187111719,19.571058871438165,171.0,1,,11.03399225812577
"(0.032, 0.014, 200, 120, 0.3)",1.0164122203752004,1.6609511335520482,0.0044767656366176,19.90369915808235,38.0,1,,11.011285033779759
"(0.018, 0.005, 300, 240, 1.0)",1.1306590288148364,2.1004995514015095,0.0043286829708791,19.283586885613452,120.0,1,,10.918123788650684
"(0.017, 0.01, 200, 120, 0.7)",1.0199032065863152,1.6089787876679955,0.0044034390593065,19.408958584478423,100.0,1,,10.84497905976622
"(0.016, 0.013, 200, 240, 1.0)",0.9991040705815228,1.44085025344912,0.0044148477396501,19.45620111571417,79.0,1,,10.821539780698958
"(0.04, 0.026, 300, 240, 0.5)",1.101614656994278,1.566450888592687,0.0043010069259555,19.15089155888676,34.0,1,,10.715259429511702
"(0.013, 0.007, 300, 120, 0.3)",1.063663315467167,1.7193725228491112,0.0043310071795043,19.094316246386313,54.0,1,,10.673990431480819
"(0.024, 0.027, 200, 240, 0.7)",1.002964213735961,1.2415579849513474,0.0043092115306975,19.15447572263355,38.0,1,,10.623392863522039
"(0.014, 0.028, 200, 0, 1.0)",0.977247018145579,0.9612466298603808,0.0042476689409193,18.872360188670484,38.0,1,,10.456679443539901
"(0.026, 0.013, 200, 240, 0.7)",1.100857417285278,1.7979556893621942,0.0041791233420621,18.60889370048543,34.0,1,,10.443625144185932
"(0.042, 0.016, 200, 240, 1.0)",1.0618753445075897,1.609248002423076,0.00414085442927,18.425802863068174,62.0,1,,10.348135921612407
"(0.034, 0.029, 300, 0, 0.7)",1.0021505927180268,1.3032800544031642,0.0041134467769929,18.284073688689137,36.0,1,,10.185073990285602
"(0.03, 0.024, 200, 120, 0.7)",1.0933363764904924,1.535541058449356,0.0040558349161673,18.05839703121285,34.0,1,,10.16097905718075
"(0.031, 0.028, 100, 240, 0.5)",1.0002667968649908,1.37925246088334,0.0040901357991329,18.13815258242726,36.0,1,,10.110252952279488
"(0.038, 0.021, 200, 240, 1.0)",1.111615685828581,1.507370184985548,0.0039590903108769,17.634481862610567,32.0,1,,9.964897526822988
"(0.032, 0.008, 300, 120, 0.5)",1.1040294659936911,1.7611760842691186,0.0038608714978749,17.195392325274646,58.0,1,,9.77036475713314
"(0.024, 0.016, 100, 240, 0.3)",1.022806664898391,1.2414054909924277,0.0039022454153871,17.35221592738066,34.0,1,,9.737512383173334
"(0.031, 0.03, 300, 240, 0.3)",1.0875319878526126,1.3148752674427795,0.0038683273905042,17.223032951766562,32.0,1,,9.73518013634539
"(0.031, 0.022, 200, 240, 1.0)",1.0766140955408323,1.5719533639531789,0.0038204557443587,17.00661482535631,32.0,1,,9.616101052474628
"(0.034, 0.021, 200, 120, 0.5)",1.026584388390624,1.31392593747616,0.0037470482461586,16.663658239584006,209.0,1,,9.615916459936468
"(0.043, 0.017, 100, 240, 0.5)",0.9928025902324188,1.3188998253782067,0.0038234396723092,16.99194055356489,87.0,1,,9.593699427342555
"(0.029, 0.016, 300, 240, 0.5)",1.0023879086511869,1.4618636605677011,0.0037444580709346,16.644079993061315,197.0,1,,9.566933447110909
"(0.026, 0.006, 100, 0, 0.7)",1.0278697992123207,1.4852868940457262,0.003784504909163,16.65926159345671,161.0,1,,9.554966091031512
"(0.019, 0.009, 300, 240, 0.5)",1.1168792474398697,1.4991042655751174,0.0037373593698039,16.65069162362088,40.0,1,,9.488487699880505
"(0.033, 0.023, 200, 0, 1.0)",0.982699482751011,1.364509133803537,0.003792926849837,16.85295013580925,61.0,1,,9.4816316238058
"(0.042, 0.03, 200, 240, 0.5)",1.0169478655723077,1.386878992600016,0.0037345640117442,16.604956417613522,97.0,1,,9.436941510367324
"(0.022, 0.008, 200, 120, 1.0)",1.01797191267067,1.2367978730146871,0.0037531023559161,16.6876965868585,36.0,1,,9.403067103744004
"(0.038, 0.014, 300, 0, 0.7)",1.1048443563305304,1.6524898309682807,0.0036462679600396,16.24179891938425,48.0,1,,9.282097548062616
"(0.04, 0.013, 200, 240, 1.0)",1.077817984533699,1.537984725167624,0.0036608854257941,16.29776151573842,40.0,1,,9.273037856977114
"(0.026, 0.017, 200, 240, 0.5)",1.0050314735024009,1.4576260508429986,0.0036705730844284,16.31655883521119,56.0,1,,9.229640318023566
"(0.039, 0.026, 200, 0, 0.3)",1.064747977465346,1.2267629444043329,0.0036521633353227,16.25463709281229,32.0,1,,9.228414360536167
"(0.03, 0.03, 200, 0, 0.5)",1.0719685116729936,1.1200155255462398,0.0036309813073427,16.16289453029472,32.0,1,,9.189784795513011
"(0.021, 0.006, 300, 120, 1.0)",1.1137719885945607,1.7252510652798891,0.003594474398857,16.014563927029286,51.0,1,,9.181209477710347
"(0.018, 0.005, 200, 120, 0.7)",1.0534269984010871,1.4079831534460538,0.0036125290694191,15.899126734967442,29.0,1,,9.035627836815388
"(0.02, 0.009, 300, 0, 0.3)",0.9905389819217562,1.289088753396616,0.0035838394920428,15.926216460661712,32.0,1,,8.990063372760568
"(0.034, 0.026, 100, 240, 1.0)",1.0492226607177115,1.150131541406541,0.003524154896772,15.680492924191634,30.0,1,,8.923444967916756
