train_dd,train_final_btc,train_turns,fast_period,slow_period,ma_type,cooldown_minutes,funding_limit_long,funding_limit_short,fees_btc,test_final_btc,test_turns,turnover_btc,turns_test,position_sizing_mode,position_sizing_target_vol,position_sizing_min_step,long_only,turns
0.2673786900616461,1.508320210425723,896.0,40,260,ema,120,0.06819660830584369,-0.09855413913355124,,,,,,,,,,
0.22571700256998214,1.5894922197480803,477.0,160,360,ema,240,0.09206750563163828,-0.09013095241967242,,,,,,,,,,
0.3520988275759632,1.1330065072121516,555.0,150,260,ema,240,0.06725859807997178,-0.010389812524533111,,,,,,,,,,
0.38845275278461744,1.1237741930900034,704.0,60,300,ema,360,0.07277167535162757,-0.028404725855313118,,,,,,,,,,
0.41388062907083545,0.9694396893249949,635.0,100,260,ema,360,0.05614392190915529,-0.06564492500894958,,,,,,,,,,
0.048535804034461366,1.3297797248365981,708.0,70,240,ema,60,0.010365465386690897,-0.035740161821896696,,,,,,,,,,
0.33278177446243984,0.9424490208711752,540.0,170,380,sma,240,0.06309802043047608,-0.05547507103793535,,,,,,,,,,
0.26517397694209993,0.7363299574711649,758.0,150,260,sma,120,0.023645735099164455,-0.0836205146101546,,,,,,,,,,
0.36743152605706064,1.1508873013731542,576.0,140,260,ema,240,0.07034764554566938,-0.0842769161600932,,,,,,,,,,
0.24464755084391027,1.045836597269822,534.0,200,400,sma,60,0.09532255521391214,-0.09966594388609454,,,,,,,,,,
0.3981982089001324,1.2692575770989742,2196.0,10,160,ema,120,0.09407979238192728,-0.09823972972850378,,,,,,,,,,
0.30006569437388825,1.458962814834563,571.0,110,340,ema,120,0.08479907798946837,-0.0782280570927181,,,,,,,,,,
0.21564779219704136,1.2538628360418598,764.0,110,160,ema,240,0.04091353010109169,-0.07194494414184864,,,,,,,,,,
0.3968111497969417,2.321262921897235,1362.0,10,340,ema,120,0.09927963139393553,-0.048883296236348545,,,,,,,,,,
0.2803265459810709,2.4246924810052173,1005.0,20,340,ema,240,0.09825273226901787,-0.05132388217632146,,,,,,,,,,
0.388088407712323,2.315865832391355,1473.0,10,320,ema,60,0.09864278451580016,-0.045087580444740503,,,,,,,,,,
0.09583896469924012,1.0735062821313253,1885.0,30,100,sma,120,0.04456068205256641,-0.05433006661285833,,,,,,,,,,
0.3431326614025839,1.6246675459823205,656.0,70,300,ema,240,0.08321674172224655,-0.04508157276020636,,,,,,,,,,
0.25780418648489944,1.885761232458477,933.0,20,400,ema,240,0.08071464390825153,-0.06130372798890969,,,,,,,,,,
0.38808840771231884,2.468789441398615,1470.0,10,320,ema,60,0.0995112803880718,-0.045014421761039806,,,,,,,,,,
0.3010097171391306,1.7558328520287751,746.0,50,340,ema,60,0.09994741734855042,-0.04722106144293504,,,,,,,,,,
0.3880884077123225,2.364735784029016,1458.0,10,320,ema,60,0.08816059030042438,-0.038093302488804735,,,,,,,,,,
0.27177843671974483,2.266967268268917,938.0,30,300,ema,60,0.08777095474780863,-0.03697855076961932,,,,,,,,,,
0.29946893988321305,1.6310725221656746,707.0,90,220,ema,60,0.07566615017623979,-0.03629020579156183,,,,,,,,,,
0.35359354408776883,1.4503821053220587,866.0,30,360,sma,60,0.09085992013945446,-0.02401529308298068,,,,,,,,,,
0.21200992356338863,1.8848223964631756,764.0,50,300,ema,60,0.08872190315954864,-0.056821304411255866,,,,,,,,,,
0.3151635127112847,1.8840489055220333,995.0,20,380,ema,60,0.07763802027501382,-0.04127342784616953,,,,,,,,,,
0.30781110292725317,1.3436282966152528,764.0,80,200,ema,60,0.060689914273842745,-0.028788671232266236,,,,,,,,,,
0.16766556228211668,1.3906587060082591,755.0,40,320,ema,360,0.03534949941731994,-0.06774306157917104,,,,,,,,,,
0.39681114979694143,2.4107572221965894,1359.0,10,340,ema,120,0.09949789342792989,-0.04719197088845761,,,,,,,,,,
0.23947145251354987,2.351824126782951,1005.0,20,360,ema,120,0.09259102231804361,-0.04035410279652673,,,,,,,,,,
0.41115980506065736,2.0050610380914113,1323.0,10,320,ema,240,0.08925804386672065,-0.05158985808776782,,,,,,,,,,
0.18669109747315252,2.2126790511844594,878.0,40,280,ema,60,0.09454813265014368,-0.014457785618720284,,,,,,,,,,
0.33465705688224395,1.5214736637442718,692.0,50,380,ema,360,0.09928965975963543,-0.06061019475857357,,,,,,,,,,
0.38026866213581395,1.0870729095875566,2607.0,30,40,ema,240,0.08535656671901748,-0.030914493946257143,,,,,,,,,,
0.3225334249996734,2.0744779446100488,1154.0,20,280,ema,120,0.09372997262229726,-0.04175289999532178,,,,,,,,,,
0.39885227839777315,1.078899955845728,686.0,60,340,ema,360,0.06610737472058144,-0.031509325465297715,,,,,,,,,,
0.3871642066684977,1.6222177767951895,1335.0,10,360,sma,60,0.07669220546068103,-0.019504623865037905,,,,,,,,,,
0.18783270634852797,1.421421547684801,902.0,40,240,ema,240,0.05262443899883454,-0.050728663961934005,,,,,,,,,,
0.2394714525135485,2.3456918689689195,999.0,20,360,ema,120,0.09171963386590073,-0.039832638547760285,,,,,,,,,,
0.27544892099382806,2.116634202737682,996.0,20,380,ema,120,0.09610714110751559,-0.044002813069265755,,,,,,,,,,
0.2577091278040318,2.1530815585795007,995.0,30,280,ema,120,0.08838526652588745,-0.03287805926886528,,,,,,,,,,
0.32401886819107173,1.327680172586867,561.0,130,320,ema,120,0.09501455201349696,-0.05995981028709177,,,,,,,,,,
0.3228954977436857,1.1075913991602886,456.0,180,400,ema,120,0.07240744557791769,-0.02601278774580399,,,,,,,,,,
0.3607821064032033,2.2459398519776657,1208.0,10,360,ema,240,0.08533824899064882,-0.05313445320339918,,,,,,,,,,
0.30912130691396456,1.5233935949676167,722.0,60,340,sma,120,0.0913743978279983,-0.03942032680007181,,,,,,,,,,
0.2992269204184408,1.5334325700974232,1112.0,20,300,ema,60,0.025976258763239796,-0.049812103626087255,,,,,,,,,,
0.24300500401659902,1.862879057536883,923.0,40,240,ema,360,0.0972798431963783,-0.06480549009829728,,,,,,,,,,
0.12481788155812713,4.353521467675137,1638.0,10,380,ema,120,0.08102112094839473,-0.035009686434120044,0.0,4.353521467675137,1638.0,0.0,1638.0,static,0.5377381835414852,0.10925520343660838,True,1638.0
0.12481788155812713,4.353521467675137,1638.0,10,380,ema,120,0.08112455173858085,-0.05737659585331266,0.0,4.353521467675137,1638.0,0.0,1638.0,static,0.6371720888705261,0.21252618189627734,True,1638.0
0.1358390562140107,1.9926242697328256,3333.0,10,120,ema,120,0.08146628665993728,-0.035433421721456214,0.0,1.9926242697328256,3333.0,0.0,3333.0,static,0.3748648768001539,0.17167380293608192,True,3333.0
0.4744993249430326,1.7286894441034772,69114.0,10,380,ema,120,0.08245610121881379,-0.03596151072540355,0.0,1.7286894441034772,69114.0,0.0,69114.0,static,0.4272825537684288,0.2768932374643067,False,69114.0
0.17145730739360707,3.565379847508604,1029.0,30,400,ema,120,0.0926057372563928,-0.05719186204865539,0.0,3.565379847508604,1029.0,0.0,1029.0,volatility,0.675048448954004,0.28170640608149966,True,1029.0
0.17145730739360707,3.565379847508604,1029.0,30,400,ema,120,0.09247943703853234,-0.05812486832658672,0.0,3.565379847508604,1029.0,0.0,1029.0,static,0.6828064970944964,0.2920949151270913,True,1029.0
0.12427320478731417,4.120898048161629,1593.0,10,400,ema,120,0.0785710745721169,-0.057739867019021764,0.0,4.120898048161629,1593.0,0.0,1593.0,static,0.6279836650832281,0.23473725147926372,True,1593.0
0.1717467526075318,4.649315117830902,1071.0,30,340,ema,120,0.07862745103430221,-0.04743127048083142,0.0,4.649315117830902,1071.0,0.0,1071.0,static,0.6554232317140614,0.12805011018319,True,1071.0
0.17145730739360707,3.565379847508604,1029.0,30,400,ema,120,0.09692541045938291,-0.075649562493481,0.0,3.565379847508604,1029.0,0.0,1029.0,volatility,0.6851969561107237,0.10065429791103611,True,1029.0
0.16502559189618876,2.843800743854788,1035.0,30,400,sma,120,0.07014953797387131,-0.06981114069333681,0.0,2.843800743854788,1035.0,0.0,1035.0,volatility,0.6932245200666078,0.292989659038934,True,1035.0
0.16502559189618876,2.843800743854788,1035.0,30,400,sma,120,0.06869129674315079,-0.05673137459238391,0.0,2.843800743854788,1035.0,0.0,1035.0,volatility,0.6756777222869502,0.28740009952304774,True,1035.0
0.16502559189618876,2.843800743854788,1035.0,30,400,sma,120,0.06979518284859035,-0.073916880988488,0.0,2.843800743854788,1035.0,0.0,1035.0,static,0.687525112855721,0.11164515983711243,True,1035.0
0.12785128477393023,2.1609425874205312,857.0,50,400,sma,120,0.06947357603126562,-0.05793952180586805,0.0,2.1609425874205312,857.0,0.0,857.0,static,0.6602488112528799,0.28803225680453826,True,857.0
0.13029439649681104,3.3230722951581613,822.0,50,380,ema,120,0.08577039851933532,-0.08200809595891205,0.0,3.3230722951581613,822.0,0.0,822.0,static,0.6581363669198625,0.10050455363393,True,822.0
0.13029439649681104,3.3230722951581613,822.0,50,380,ema,120,0.07792454569098134,-0.07606356111196162,0.0,3.3230722951581613,822.0,0.0,822.0,static,0.6571679060568963,0.104196813128265,True,822.0
0.13029439649681104,3.3230722951581613,822.0,50,380,ema,120,0.07884451724730447,-0.06359577849570096,0.0,3.3230722951581613,822.0,0.0,822.0,static,0.6289260362288185,0.10000137735381764,True,822.0
0.13029439649681104,3.3230722951581613,822.0,50,380,ema,120,0.07777302495151903,-0.08767153205192625,0.0,3.3230722951581613,822.0,0.0,822.0,static,0.635605643696454,0.10045122855070593,True,822.0
0.13029439649681104,3.3230722951581613,822.0,50,380,ema,120,0.07819915377513281,-0.08269256078231062,0.0,3.3230722951581613,822.0,0.0,822.0,static,0.6435870801707666,0.10448594569136614,True,822.0
0.13029439649681104,3.3230722951581613,822.0,50,380,ema,120,0.07841944272384503,-0.08314770902310771,0.0,3.3230722951581613,822.0,0.0,822.0,static,0.6342093886390947,0.11818881161391474,True,822.0
0.13029439649681104,3.3230722951581613,822.0,50,380,ema,120,0.07877545558614127,-0.08366544777830971,0.0,3.3230722951581613,822.0,0.0,822.0,static,0.6370580762346073,0.1094232045939402,True,822.0
0.14492919434328413,3.3389017823612104,891.0,40,400,ema,120,0.05869512208499357,-0.09447328942473662,0.0,3.3389017823612104,891.0,0.0,891.0,volatility,0.5709221693524069,0.22168403140744664,True,891.0
0.1282332412141868,3.033589278072742,693.0,70,400,ema,120,0.07262218801840058,-0.06673593351066082,0.0,3.033589278072742,693.0,0.0,693.0,volatility,0.5539654588535169,0.22257268042719056,True,693.0
