adx_threshold,final_btc,drawdown,trades,fees
15,1.12223866694528,0.01646289466801133,2083,0.06284143956148477
30,1.0,0.0,0,0.0
35,1.0,0.0,0,0.0
40,1.0,0.0,0,0.0
45,1.0,0.0,0,0.0
50,1.0,0.0,0,0.0
25,0.9977022339223429,0.0027609853821593043,21,0.0005899311760732489
20,0.9886121029822285,0.021379796123614424,205,0.005672879515760686
