bar_interval_minutes,cooldown_minutes,fees_btc,flip_band_entry,flip_band_exit,funding_limit_long,funding_limit_short,gate_roc_threshold,gate_window_days,long_only,max_mult,max_position,min_mult,min_trade_btc,rebalance_threshold_w,robust_score,step_allocation,target_vol,test_final_btc,train_final_btc,trend_kind,trend_lookback,turnover_btc,turns_test,vol_adapt_k,vol_window
15,180,0.0010670786789889418,0.056758860378739937,0.026450128585853053,0.08057144166121939,-0.06826762687300426,0.0,60,True,1.5,1.0,0.5,0.0,0.01,-3.8089775387188425,0.66,0.3,0.9622103256142096,1.0128604204490332,sma,120,4.726326173782886,10.0,0.0075,60
15,180,0.0011043210885053434,0.05976459003092436,0.021941879673683697,0.07781872284467055,-0.07008613284790213,0.0,90,True,1.5,1.0,0.5,0.0,0.01,-3.917424890376567,0.66,0.3,1.021023041223791,1.0000002009649618,sma,120,4.911239289423348,10.0,0.0075,60
15,180,0.0011043210885053434,0.059970426426741906,0.0241149660817204,0.07639976736979313,-0.07344998228305835,0.0,60,True,1.5,1.0,0.5,0.0,0.01,-3.917424890376567,0.66,0.3,1.021023041223791,1.0172808267210487,sma,120,4.911239289423348,10.0,0.0075,60
15,180,0.0011043210885053434,0.059931545025669976,0.025956434086761522,0.0763428996101379,-0.02517806704329148,0.0,60,True,1.5,1.0,0.5,0.0,0.01,-3.917424890376567,0.66,0.3,1.021023041223791,1.0172808267210487,sma,120,4.911239289423348,10.0,0.0075,60
15,180,0.0011043210885053434,0.05987396073667776,0.021513712100727472,0.07477227181767343,-0.07062213016154543,0.0,60,True,1.5,1.0,0.5,0.0,0.01,-3.917424890376567,0.66,0.3,1.021023041223791,1.0172808267210487,sma,120,4.911239289423348,10.0,0.0075,60
15,180,0.0011043210885053434,0.05983211942521213,0.022902687606367017,0.07432166966297575,-0.02123429827852057,0.0,60,True,1.5,1.0,0.5,0.0,0.01,-3.917424890376567,0.66,0.3,1.021023041223791,1.0172808267210487,sma,120,4.911239289423348,10.0,0.0075,60
15,180,0.0011043210885053434,0.059888246188207886,0.02626675935964482,0.07636110096490033,-0.06624894326733641,0.0,60,True,1.5,1.0,0.5,0.0,0.01,-3.917424890376567,0.66,0.3,1.021023041223791,1.0172808267210487,sma,120,4.911239289423348,10.0,0.0075,60
15,180,0.0011043210885053434,0.059900394703323805,0.020796711591026397,0.07785805652599895,-0.07560090289622562,0.0,60,True,1.5,1.0,0.5,0.0,0.01,-3.917424890376567,0.66,0.3,1.021023041223791,1.0172808267210487,sma,120,4.911239289423348,10.0,0.0075,60
15,180,0.0011043210885053434,0.05990679346807592,0.02357880692456399,0.07784355102667234,-0.0685302198610394,0.0,60,True,1.5,1.0,0.5,0.0,0.01,-3.917424890376567,0.66,0.3,1.021023041223791,1.0172808267210487,sma,120,4.911239289423348,10.0,0.0075,60
15,180,0.0011043210885053434,0.05964211422028108,0.021309668466754368,0.07788419473092649,-0.06868334529875766,0.0,60,True,1.5,1.0,0.5,0.0,0.01,-3.917424890376567,0.66,0.3,1.021023041223791,1.0172808267210487,sma,120,4.911239289423348,10.0,0.0075,60
15,240,0.0011065578137692367,0.05971217732935085,0.021034723863821554,0.0775321773381999,-0.07758963251624984,0.0,60,True,1.5,1.0,0.5,0.0,0.01,-3.9263939537876333,0.66,0.3,1.0224442059446932,1.0147820941927366,sma,120,4.921625044104788,10.0,0.0075,45
15,240,0.0011065578137692367,0.059718610184309136,0.021821969277055937,0.07725039733315857,-0.06820024201935306,0.0,60,True,1.5,1.0,0.5,0.0,0.01,-3.9263939537876333,0.66,0.3,1.0224442059446932,1.0147820941927366,sma,120,4.921625044104788,10.0,0.0075,60
15,240,0.0011065578137692367,0.059753857236143876,0.024276768570519514,0.07596098217176954,-0.07992504579045989,0.0,60,True,1.5,1.0,0.5,0.0,0.01,-3.9263939537876333,0.66,0.3,1.0224442059446932,1.0147820941927366,sma,120,4.921625044104788,10.0,0.0075,60
15,180,0.0010995969172669284,0.05744818463735859,0.026001389858010215,0.03718164906569975,-0.04353848958278313,0.0,60,True,1.5,0.6,0.5,0.0,0.0,-3.9442157825000765,0.33,0.3,0.9762445028851593,1.015432069193722,sma,120,4.879545443342705,10.0,0.0075,60
15,180,0.0010995969172669284,0.057775052690742276,0.02548797142297443,0.07776515639522757,-0.03320432962981371,0.0,60,True,1.5,1.0,0.5,0.0,0.0,-3.9442157825000765,0.33,0.3,0.9762445028851593,1.015432069193722,sma,120,4.879545443342705,10.0,0.0075,60
15,180,0.0010995969172669284,0.0574957438660368,0.02488307903211028,0.04327965497091251,-0.04134496300764535,0.0,60,True,1.5,0.6,0.5,0.0,0.0,-3.9442157825000765,0.33,0.3,0.9762445028851593,1.015432069193722,sma,120,4.879545443342705,10.0,0.0075,60
15,180,0.0010995969172669284,0.057485218220593624,0.025155076011985123,0.038220450691989184,-0.041187283181851095,0.0,60,True,1.5,0.6,0.5,0.0,0.0,-3.9442157825000765,0.33,0.3,0.9762445028851593,1.015432069193722,sma,120,4.879545443342705,10.0,0.0075,60
15,180,0.0010995969172669284,0.05759418665432457,0.02506230147547659,0.03917653812288984,-0.0427041536505121,0.0,60,True,1.5,0.6,0.5,0.0,0.0,-3.9442157825000765,0.33,0.3,0.9762445028851593,1.015432069193722,sma,120,4.879545443342705,10.0,0.0075,60
15,180,0.0010983598578328975,0.056742063112597205,0.026433080275074038,0.07821370404258328,-0.0335453053811893,0.0,60,True,1.5,0.6,0.5,0.0,0.0,-3.9552031493532014,0.33,0.3,0.9596997171633628,1.0144828209185035,sma,120,4.868532060486599,10.0,0.0075,60
