bar_interval_minutes,cooldown_minutes,fees_btc,flip_band_entry,flip_band_exit,funding_limit_long,funding_limit_short,gate_roc_threshold,gate_window_days,long_only,max_mult,max_position,min_mult,min_trade_btc,rebalance_threshold_w,robust_score,step_allocation,target_vol,test_final_btc,train_final_btc,trend_kind,trend_lookback,turnover_btc,turns_test,vol_adapt_k,vol_window
15,240,0.0009775790774025775,0.0543930226225065,0.018003660154351533,0.028349756474328254,-0.044080799356300625,0.02,60,True,1.5,0.6,0.5,0.0,0.01,-3.380357562599783,0.33,0.4,0.98198110248275,1.0230738779048865,sma,120,4.32100103552998,10.0,0.0075,45
15,180,0.0009780138692540856,0.057469949780636145,0.019839524046613887,0.09711793519573862,-0.0553635584738433,0.02,90,True,1.5,1.0,0.5,0.0,0.01,-3.3909655645792807,0.33,0.4,0.9851986391267978,0.99982490951271,sma,120,4.324088981332501,18.0,0.0075,60
15,240,0.0009806312758267,0.0576575517594576,0.017850847782542024,0.09986851919721068,-0.05530522591097544,0.02,90,True,1.5,1.0,0.5,0.0,0.01,-3.4057864394732364,0.33,0.4,0.982732039931301,1.0014278560133327,sma,120,4.335013681224173,18.0,0.0075,60
15,240,0.0009806312758267,0.057696100978056296,0.017854402789511687,0.09650928754625843,-0.055591558777121436,0.02,90,True,1.5,1.0,0.5,0.0,0.01,-3.4057864394732364,0.33,0.4,0.982732039931301,1.0014278560133327,sma,120,4.335013681224173,18.0,0.0075,60
15,240,0.0009806312758267,0.05745087875494611,0.019792964949401165,0.09714102218312556,-0.05534753067354108,0.02,90,True,1.5,1.0,0.5,0.0,0.01,-3.4057864394732364,0.33,0.4,0.982732039931301,1.0014278560133327,sma,120,4.335013681224173,18.0,0.0075,60
15,240,0.0009806312758267,0.057630995322327135,0.01762593309733163,0.09756359521583138,-0.05425650547177124,0.02,90,True,1.5,1.0,0.5,0.0,0.01,-3.4057864394732364,0.33,0.4,0.982732039931301,1.0014278560133327,sma,120,4.335013681224173,18.0,0.0075,60
15,240,0.0009806312758267,0.05769721554823351,0.01875970409671715,0.09798670235750742,-0.05864867354691674,0.02,90,True,1.5,1.0,0.5,0.0,0.01,-3.4057864394732364,0.33,0.4,0.982732039931301,1.0014278560133327,sma,120,4.335013681224173,18.0,0.0075,60
15,240,0.0009806312758267,0.057670522561362486,0.01800129247703353,0.09811497970747404,-0.05756915868303633,0.02,90,True,1.5,1.0,0.5,0.0,0.01,-3.4057864394732364,0.33,0.4,0.982732039931301,1.0014278560133327,sma,120,4.335013681224173,18.0,0.0075,60
15,240,0.0009806312758267,0.05780251648005098,0.017845549566160135,0.09970125271089733,-0.05421239016228471,0.02,90,True,1.5,1.0,0.5,0.0,0.01,-3.406429175008171,0.33,0.4,0.982732039931301,1.003264243256003,sma,120,4.335013681224173,18.0,0.0075,60
15,240,0.0009806312758267,0.05786365117314334,0.018766930940253043,0.09999679558633252,-0.058732761576172916,0.02,90,True,1.5,1.0,0.5,0.0,0.01,-3.406429175008171,0.33,0.4,0.982732039931301,1.003264243256003,sma,120,4.335013681224173,18.0,0.0075,60
15,240,0.0009806312758267,0.057783984980079535,0.01793962234542606,0.09816580583316072,-0.05529840144833013,0.02,90,True,1.5,1.0,0.5,0.0,0.01,-3.406429175008171,0.33,0.4,0.982732039931301,1.003264243256003,sma,120,4.335013681224173,18.0,0.0075,60
15,240,0.0009806312758267,0.05789328094343629,0.01883920837992597,0.09982777406407571,-0.05747147287893821,0.02,90,True,1.5,1.0,0.5,0.0,0.01,-3.406429175008171,0.33,0.4,0.982732039931301,1.003264243256003,sma,120,4.335013681224173,18.0,0.0075,60
15,240,0.0009806312758267,0.05771488019766244,0.017986206880862318,0.09809988359399381,-0.053400557926310044,0.02,90,True,1.5,1.0,0.5,0.0,0.01,-3.406429175008171,0.33,0.4,0.982732039931301,1.003264243256003,sma,120,4.335013681224173,18.0,0.0075,60
15,240,0.0009806312758267,0.057706016228082684,0.018797690973179192,0.09866123498584078,-0.05894371158282454,0.02,90,True,1.5,1.0,0.5,0.0,0.01,-3.406429175008171,0.33,0.4,0.982732039931301,1.003264243256003,sma,120,4.335013681224173,18.0,0.0075,60
15,240,0.0009806312758267,0.057809884129360285,0.01884306171836423,0.09836604737523208,-0.058315315701778836,0.02,90,True,1.5,1.0,0.5,0.0,0.01,-3.406429175008171,0.33,0.4,0.982732039931301,1.003264243256003,sma,120,4.335013681224173,18.0,0.0075,60
15,240,0.0009806312758267,0.05775204944095368,0.018849467425986196,0.09732117817151344,-0.05736679834738471,0.02,90,True,1.5,1.0,0.5,0.0,0.01,-3.406429175008171,0.33,0.4,0.982732039931301,1.003264243256003,sma,120,4.335013681224173,18.0,0.0075,60
15,240,0.0009806312758267,0.057760294553603354,0.017864116601844168,0.09690331891414128,-0.05203033496822393,0.02,90,True,1.5,1.0,0.5,0.0,0.01,-3.406429175008171,0.33,0.4,0.982732039931301,1.003264243256003,sma,120,4.335013681224173,18.0,0.0075,60
15,240,0.0009806312758267,0.057747219792799044,0.018789881643265203,0.09369303182986014,-0.05934192271864673,0.02,90,True,1.5,1.0,0.5,0.0,0.01,-3.406429175008171,0.33,0.4,0.982732039931301,1.003264243256003,sma,120,4.335013681224173,18.0,0.0075,60
15,240,0.0009806312758267,0.05777144244060831,0.018720423930418967,0.09966420919945376,-0.058666811234303694,0.02,90,True,1.5,1.0,0.5,0.0,0.01,-3.406429175008171,0.33,0.4,0.982732039931301,1.003264243256003,sma,120,4.335013681224173,18.0,0.0075,60
