bar_interval_minutes,cooldown_minutes,fees_btc,flip_band_entry,flip_band_exit,funding_limit_long,funding_limit_short,gate_roc_threshold,gate_window_days,long_only,max_mult,max_position,min_mult,min_trade_btc,rebalance_threshold_w,robust_score,step_allocation,target_vol,test_final_btc,train_final_btc,trend_kind,trend_lookback,turnover_btc,turns_test,vol_adapt_k,vol_window
15,180,0.000972545859729887,0.057597632588200616,0.01898390334120848,0.07633338525067919,-0.06173980186588314,0.0,90,True,1.5,0.8,0.5,0.0,0.01,-3.3468707745416566,0.33,0.3,0.9849672975202389,0.999770057467097,sma,120,4.2997120143610355,10.0,0.0075,60
15,180,0.000972545859729887,0.05747742698440625,0.019266213634037858,0.09499268154919076,-0.06580937018587069,0.0,90,True,1.5,1.0,0.5,0.0,0.01,-3.3468707745416566,0.33,0.3,0.9849672975202389,0.999770057467097,sma,120,4.2997120143610355,10.0,0.0075,60
15,180,0.000972545859729887,0.057520750026444994,0.019389481215686954,0.07677696578268488,-0.058924264721420434,0.0,90,True,1.5,0.8,0.5,0.0,0.01,-3.3468707745416566,0.33,0.3,0.9849672975202389,0.999770057467097,sma,120,4.2997120143610355,10.0,0.0075,60
15,180,0.000972545859729887,0.0575829997306726,0.019467256016637787,0.07648491016570565,-0.06557929552255867,0.0,90,True,1.5,0.8,0.5,0.0,0.01,-3.3468707745416566,0.33,0.3,0.9849672975202389,0.999770057467097,sma,120,4.2997120143610355,10.0,0.0075,60
15,180,0.000972545859729887,0.05753593553253053,0.018196749622543994,0.07550462998485949,-0.06468116068829352,0.0,90,True,1.5,0.8,0.5,0.0,0.01,-3.3468707745416566,0.33,0.3,0.9849672975202389,0.999770057467097,sma,120,4.2997120143610355,10.0,0.0075,60
15,180,0.000972545859729887,0.05743944385517433,0.018719571015414983,0.08237796185605724,-0.06350229916367355,0.0,90,True,1.5,0.8,0.5,0.0,0.01,-3.3468707745416566,0.33,0.3,0.9849672975202389,0.999770057467097,sma,120,4.2997120143610355,10.0,0.0075,60
15,180,0.000972545859729887,0.057569905157702134,0.01929671728700128,0.07628292672604892,-0.06667130029176283,0.0,90,True,1.5,1.0,0.5,0.0,0.01,-3.3468707745416566,0.33,0.3,0.9849672975202389,0.999770057467097,sma,120,4.2997120143610355,10.0,0.0075,60
15,180,0.000972545859729887,0.057493626716539147,0.01819534052733689,0.08240961637802527,-0.06753757636190826,0.0,90,True,1.5,0.8,0.5,0.0,0.01,-3.3468707745416566,0.33,0.3,0.9849672975202389,0.999770057467097,sma,120,4.2997120143610355,10.0,0.0075,60
15,180,0.000972545859729887,0.05761434031454289,0.018719389497092016,0.08469961298225545,-0.06149644975779586,0.0,90,True,1.5,0.8,0.5,0.0,0.01,-3.3468707745416566,0.33,0.3,0.9849672975202389,0.999770057467097,sma,120,4.2997120143610355,10.0,0.0075,60
15,180,0.000972545859729887,0.05755251291227384,0.01938604827652987,0.07613928311057822,-0.06077632266901792,0.0,90,True,1.5,0.8,0.5,0.0,0.01,-3.3468707745416566,0.33,0.3,0.9849672975202389,0.999770057467097,sma,120,4.2997120143610355,10.0,0.0075,60
15,180,0.000972545859729887,0.05759393881912419,0.019187898362045614,0.07655092244937634,-0.07041136186202415,0.0,90,True,1.5,0.8,0.5,0.0,0.01,-3.3468707745416566,0.33,0.3,0.9849672975202389,0.999770057467097,sma,120,4.2997120143610355,10.0,0.0075,60
15,180,0.000972545859729887,0.057772786117919604,0.017266873071072816,0.08297175591800854,-0.0700194371086067,0.0,90,True,1.5,0.8,0.5,0.0,0.01,-3.3470499796244786,0.33,0.3,0.9849672975202389,1.0002820719894454,sma,120,4.2997120143610355,10.0,0.0075,60
15,180,0.000972545859729887,0.05773759966814226,0.017921937922941736,0.08409264707134465,-0.06619507309607689,0.0,90,True,1.5,0.8,0.5,0.0,0.01,-3.3470499796244786,0.33,0.3,0.9849672975202389,1.0002820719894454,sma,120,4.2997120143610355,10.0,0.0075,60
15,180,0.000972545859729887,0.057729842006212694,0.017663839455052528,0.08575026400376654,-0.06619723524405653,0.0,90,True,1.5,0.8,0.5,0.0,0.01,-3.3470499796244786,0.33,0.3,0.9849672975202389,1.0002820719894454,sma,120,4.2997120143610355,10.0,0.0075,60
15,180,0.000972545859729887,0.057847575701966546,0.019515927489101224,0.07616542078398213,-0.05908659661589745,0.0,90,True,1.5,0.8,0.5,0.0,0.01,-3.3470499796244786,0.33,0.3,0.9849672975202389,1.0002820719894454,sma,120,4.2997120143610355,10.0,0.0075,60
15,180,0.000972545859729887,0.057716104779639385,0.017166537596177305,0.08645837448436948,-0.061421342824828536,0.0,90,True,1.5,0.8,0.5,0.0,0.01,-3.3470499796244786,0.33,0.3,0.9849672975202389,1.0002820719894454,sma,120,4.2997120143610355,10.0,0.0075,60
15,180,0.000972545859729887,0.057858624280559455,0.01854942291483383,0.08737943305176706,-0.06166099559806562,0.0,90,True,1.5,0.8,0.5,0.0,0.01,-3.3470499796244786,0.33,0.3,0.9849672975202389,1.0002820719894454,sma,120,4.2997120143610355,10.0,0.0075,60
15,180,0.000972545859729887,0.05782971448122459,0.01843034904836275,0.08485308471247238,-0.06154903391934391,0.0,90,True,1.5,0.8,0.5,0.0,0.01,-3.3470499796244786,0.33,0.3,0.9849672975202389,1.0002820719894454,sma,120,4.2997120143610355,10.0,0.0075,60
