__family,mean_test_btc,mean_train_btc,fees,turnover,turns,n,std_test,score
"(0.0493, 0.0095, 120, 60, 1.0)",1.0010641784398446,1.0225118981645056,0.01124761561072,19.99576108572455,336.0,1,,-9.00806398003315
"(0.0467, 0.0149, 120, 240, 0.5)",0.9695375886483676,1.0415335716652867,0.0112815339996936,20.056060443899742,556.0,1,,-9.069774167301198
"(0.0483, 0.0103, 120, 180, 0.5)",0.9239551346700656,2.220197375770188,0.0119256083348637,21.20108148420221,92.0,1,,-9.688511215765903
"(0.0477, 0.0296, 160, 240, 1.0)",0.9806016283633052,1.0052457837499968,0.012362898026697,21.978485380794822,146.0,1,,-10.021003960060803
"(0.0478, 0.0234, 120, 120, 0.33)",0.9850554083750448,1.7896995071782975,0.0123898120114228,22.02633246475164,60.0,1,,-10.040500636012197
"(0.0486, 0.0076, 120, 120, 1.0)",0.979143918886048,1.0534865690549438,0.0124405467073537,22.11652747974007,388.0,1,,-10.091560367691342
"(0.05, 0.0236, 200, 120, 0.33)",0.9677134006080286,1.233160985184413,0.0125955050506013,22.392008978846803,186.0,1,,-10.240886593865975
"(0.0481, 0.0251, 200, 120, 0.33)",0.9069725684521096,1.261744373434773,0.013017114133809,23.14153623788277,676.0,1,,-10.676812664623085
"(0.0436, 0.0067, 120, 120, 0.5)",0.9035917029643384,1.2623538484786974,0.0136120491713248,24.19919852679966,343.0,1,,-11.209619609606817
"(0.0493, 0.0126, 320, 240, 1.0)",0.8993528346796459,1.263000284939745,0.0143175785720341,25.453473016949623,469.0,1,,-11.8417012523672
"(0.0491, 0.0284, 160, 180, 0.33)",0.9108120448223502,1.1823986473748462,0.0164669513730951,29.27458021883587,404.0,1,,-13.74294501596868
"(0.0488, 0.0058, 320, 240, 1.0)",0.8273256345469491,1.301782617926789,0.0171270566950115,30.448100791131715,602.0,1,,-14.413851817713919
"(0.0473, 0.0067, 200, 240, 0.33)",0.856169173796875,1.508256373351501,0.0172193191455802,30.61212292547596,1255.0,1,,-14.467111608086684
"(0.0486, 0.0056, 160, 180, 0.33)",0.8646460053015466,1.353706699813069,0.0173674355268776,30.87544093667127,1082.0,1,,-14.590441898560966
"(0.0473, 0.0172, 120, 240, 1.0)",0.9766460531670432,1.1457640712145445,0.0176539394689481,31.384781278130085,255.0,1,,-14.733398525366947
"(0.0471, 0.006, 160, 240, 0.5)",0.8920310757569209,2.5415971480708306,0.0179930866415187,31.98770958492209,404.0,1,,-15.119816803345643
"(0.0457, 0.0247, 200, 180, 0.33)",0.867564450618444,1.306605118801766,0.0180622937977109,32.11074452926387,413.0,1,,-15.2058701078112
"(0.0466, 0.0274, 120, 180, 0.33)",0.9742445223331936,1.862446872079076,0.0187248162966339,33.2885623051268,103.0,1,,-15.688761446526842
"(0.0472, 0.0212, 160, 240, 0.5)",0.9568572739362564,1.1025082766259315,0.0187498703532285,33.333102850183984,670.0,1,,-15.728444021508963
"(0.0498, 0.0098, 240, 240, 1.0)",0.941625570867799,1.325990697558044,0.0190609505640152,33.88613433602715,724.0,1,,-16.02050254770979
"(0.0496, 0.0223, 240, 60, 1.0)",0.8842402211034698,1.3100534392101344,0.0198562124158267,35.299933183692154,529.0,1,,-16.785582583158433
"(0.0451, 0.0253, 240, 180, 1.0)",0.9648038600140112,1.3046221427664633,0.0202157010345784,35.93902406147285,434.0,1,,-17.024923871756993
"(0.048, 0.0249, 160, 60, 0.33)",0.924344814353941,2.1200566976744035,0.0207313802102338,36.8557870404156,523.0,1,,-17.524280086064092
"(0.046, 0.0117, 240, 120, 0.5)",0.9325540972625584,1.4484556944287632,0.0210414971091815,37.4071059718784,543.0,1,,-17.792040385785825
"(0.0464, 0.0201, 160, 240, 1.0)",0.8727596565928978,1.2224828761880546,0.0216750346781397,38.5333949833594,469.0,1,,-18.415612869764942
"(0.0391, 0.0054, 200, 120, 0.5)",0.8890046549187609,1.3764472576162696,0.0219829414723458,39.08078483972598,324.0,1,,-18.673370706416573
"(0.0409, 0.0086, 160, 240, 0.33)",0.8517028197589513,1.4015337124847742,0.0222059990566717,39.47733165630535,374.0,1,,-18.909169007450398
"(0.0453, 0.0243, 120, 180, 0.33)",0.9232735622955188,1.0978133022764225,0.0223482761421505,39.73026869715655,424.0,1,,-18.96420906242491
"(0.0477, 0.0263, 160, 120, 0.33)",0.8289115773750864,1.187509180785604,0.0227659265957511,40.47275839244653,830.0,1,,-19.43023354544393
"(0.045, 0.0057, 160, 240, 0.66)",0.8167735437206816,1.2498476849508948,0.0236876337039642,42.11134880704761,1836.0,1,,-20.26258849350709
"(0.0384, 0.0136, 120, 180, 0.5)",0.9687283138439556,1.052842590425504,0.0246617614390501,43.843131447200335,403.0,1,,-20.977499171195262
"(0.0402, 0.0052, 200, 240, 0.33)",0.8878522299658753,1.4414644309771287,0.0245905541923694,43.716540786434514,1717.0,1,,-20.995008717443753
"(0.0477, 0.0061, 200, 60, 0.33)",0.8733029316499387,1.442500332607908,0.0248622503300939,44.19955614238904,1414.0,1,,-21.251337389874678
"(0.048, 0.0111, 320, 240, 0.33)",0.8609677367843942,1.287258360263177,0.0257928386629482,45.85393540079669,1505.0,1,,-22.0917928022769
"(0.0337, 0.0191, 160, 240, 0.5)",0.916608169467594,1.1376430843217151,0.0259221985427776,46.08390852049352,406.0,1,,-22.151268289321944
"(0.0474, 0.0229, 240, 120, 1.0)",0.82901588956821,1.4230073788018038,0.0262829744382872,46.725287890288534,524.0,1,,-22.559911030014344
"(0.0324, 0.0117, 120, 60, 0.5)",0.9024838335517024,0.9939432781360744,0.02726742193075,48.47541676577787,575.0,1,,-23.362491971267985
"(0.0358, 0.0203, 200, 240, 0.5)",0.8841623787677654,1.1959481385034314,0.0273982806302315,48.70805445374488,490.0,1,,-23.497263128734904
"(0.0494, 0.0202, 320, 120, 1.0)",0.8298087854448337,1.556474048582044,0.0278999644874674,49.599936866608694,1600.0,1,,-23.99805961234698
"(0.045, 0.007, 120, 60, 0.33)",0.8874362831219542,1.3680924887725971,0.0280437708590802,49.855592638364605,1074.0,1,,-24.068403806919427
"(0.048, 0.0286, 160, 180, 0.66)",0.9108560269846032,1.9188239493303012,0.0284694638728761,50.61238021844647,1180.0,1,,-24.423803546111508
"(0.0437, 0.0176, 320, 120, 1.0)",0.8472222817791545,1.4536791432602,0.0286321944734215,50.901679063860605,1593.0,1,,-24.63224944462457
"(0.0369, 0.0057, 320, 180, 0.66)",0.8938235382260493,1.1221843430810807,0.0289509283987148,51.46831715327098,888.0,1,,-24.869285966808157
"(0.0422, 0.0091, 200, 240, 0.33)",0.8644594384527617,1.5798371862721765,0.029033248202048,51.61466347030776,1203.0,1,,-24.971905544903166
"(0.0397, 0.0144, 200, 240, 0.5)",0.9165805900822392,1.4557070062762014,0.0295511039777604,52.535295960462754,1402.0,1,,-25.3806184941269
"(0.045, 0.0152, 320, 60, 1.0)",0.8225603381351583,1.413331767021676,0.0306376333824954,54.46690379110318,1820.0,1,,-26.441529190798924
"(0.0415, 0.0193, 200, 180, 0.66)",0.8627347074972633,1.9988617518156848,0.0307240044239423,54.620452309231,905.0,1,,-26.478215451542177
"(0.0398, 0.0139, 240, 60, 0.66)",0.9375099753737042,1.4063985966845771,0.0322242675379578,57.28758673414726,730.0,1,,-27.738507659237886
"(0.0423, 0.0243, 320, 60, 1.0)",0.9219720460410152,1.276237579220604,0.0322918771131662,57.40778153451768,856.0,1,,-27.81421059833099
"(0.0374, 0.0214, 160, 60, 0.33)",0.946887302558248,1.2022235296235293,0.0324402708731036,57.67159266329532,888.0,1,,-27.921349299962515
"(0.0379, 0.0067, 160, 120, 0.33)",0.9264903778954552,2.52388643918314,0.0324287102528206,57.651040449458826,896.0,1,,-27.931458557086778
"(0.0463, 0.0176, 200, 180, 0.5)",0.8368767683680393,2.19281494204055,0.0323980894801721,57.596603520305926,1151.0,1,,-27.993823081265095
"(0.0289, 0.0205, 120, 180, 1.0)",0.9944672931325896,0.9739821831968948,0.0331706352833531,58.97001828151684,580.0,1,,-28.523712482909186
"(0.0473, 0.0171, 240, 180, 0.66)",0.870983998871226,1.3436650805682069,0.0342512495523672,60.89111031531958,1454.0,1,,-29.60882240834093
"(0.0473, 0.029, 320, 180, 0.5)",0.9406684890975716,2.299416271011098,0.0344610661252675,61.264117556031046,482.0,1,,-29.72585135504322
"(0.041, 0.0151, 240, 180, 0.33)",0.8762459718320659,1.4173330396497168,0.0345592311685851,61.43863318859572,2134.0,1,,-29.87762985363438
"(0.0447, 0.0107, 240, 240, 0.33)",0.8151993112428754,1.4446196839681338,0.0348422012304185,61.94169107629971,2161.0,1,,-30.1904884281374
"(0.0302, 0.0206, 160, 180, 0.5)",0.9495824995518192,1.0865498243280172,0.0350291720992401,62.27408373198225,583.0,1,,-30.222488538538546
"(0.0409, 0.0064, 160, 60, 1.0)",0.8306961432143518,2.252034044237089,0.0351910795272224,62.561919159506736,2308.0,1,,-30.485454516066238
"(0.0383, 0.0104, 320, 180, 0.33)",0.8870814647725431,1.36848697498766,0.0354985949576458,63.10861325803724,2774.0,1,,-30.70272375920372
"(0.0383, 0.0094, 160, 240, 1.0)",0.934901156983316,2.4643897629302063,0.0357276296677299,63.51578607596442,725.0,1,,-30.858719510666624
"(0.0429, 0.0227, 320, 240, 0.33)",0.9487712619698824,2.231619307635594,0.0364526946759844,64.80479053508365,822.0,1,,-31.49007670024793
"(0.0366, 0.0162, 200, 240, 1.0)",0.9033195845090904,2.4460277551616105,0.0365687298420962,65.01107527483795,602.0,1,,-31.638786782751982
"(0.0345, 0.0106, 160, 60, 0.33)",1.0173520094491568,2.3480366980115965,0.0372272752141685,66.18182260296659,1477.0,1,,-32.110786567248304
"(0.0494, 0.0126, 120, 240, 0.5)",0.9345172104458794,0.800755134848489,0.037628168773455,66.89452226392044,1642.0,1,,-32.550372090287794
"(0.0424, 0.0293, 200, 180, 0.5)",0.8508149139631555,1.928732774395453,0.0375645126425104,66.78135580890732,636.0,1,,-32.577427503133016
"(0.035, 0.0129, 120, 180, 0.5)",0.9988406729030516,2.4217341574668305,0.0382865646981164,68.06500390776274,1534.0,1,,-33.07194784567643
"(0.0378, 0.0235, 320, 120, 0.5)",0.9218144486704384,1.1979544876834682,0.0391760629728886,69.64633417402445,838.0,1,,-33.940528701314676
"(0.0493, 0.0066, 200, 120, 0.5)",1.051052651991647,1.2207500327941034,0.0394579351745484,70.14744031030814,3002.0,1,,-34.06212543833697
"(0.0377, 0.0171, 320, 240, 0.33)",0.8746016468994694,1.3036561545180203,0.0394494316074065,70.13232285761144,2519.0,1,,-34.23100921351366
"(0.0496, 0.0287, 120, 180, 0.5)",0.8941316167944461,0.8851587806688576,0.0396171194719471,70.43043461679477,735.0,1,,-34.36070281107489
"(0.0345, 0.0282, 160, 120, 1.0)",1.014385001401624,0.8937487806732953,0.0398294050147356,70.80783113730763,516.0,1,,-34.42935997226693
"(0.0371, 0.0088, 160, 120, 0.5)",0.8155113826082767,1.1894801699047883,0.0404339051541497,71.88249805182186,1577.0,1,,-35.1661715484568
"(0.0365, 0.0205, 200, 180, 0.33)",0.940722475199938,1.2660446666440244,0.0408296269520048,72.5860034702303,2477.0,1,,-35.39310888686722
"(0.0382, 0.0062, 240, 180, 0.66)",0.9327685696834066,2.3218053976617816,0.0413841404587771,73.57180526004807,3014.0,1,,-35.8945182007994
"(0.044, 0.0283, 320, 240, 0.66)",0.9180105035157884,2.487707952439907,0.0418779655013128,74.44971644677865,640.0,1,,-36.34872568537485
"(0.0367, 0.0237, 240, 60, 0.5)",0.9059431446446372,1.1545103752754928,0.0420456191343854,74.74776735001902,609.0,1,,-36.509986149499255
"(0.0291, 0.0051, 240, 60, 1.0)",0.9980514034072876,1.0376466718445192,0.0421968637109713,75.0166465972825,1457.0,1,,-36.55246875894493
"(0.0442, 0.0068, 200, 240, 0.33)",0.9573647651003216,2.8652081978055857,0.0422029036009431,75.02738417945453,2114.0,1,,-36.59853022822789
"(0.0466, 0.0144, 160, 240, 0.33)",1.0431046463626923,1.4973494925842528,0.0430879818035447,76.60085653963512,1163.0,1,,-37.30041160525841
"(0.0367, 0.0145, 120, 240, 0.5)",1.0087196455859189,2.68608173537578,0.0431402511419621,76.69377980793234,1715.0,1,,-37.381310509522216
"(0.0356, 0.0234, 160, 120, 1.0)",0.9289857250958976,2.04218009295903,0.0432424976448022,76.87555136853726,701.0,1,,-37.552032456817535
"(0.039, 0.0221, 320, 180, 0.33)",0.9103323989458222,1.460712124024025,0.043480111178172,77.29797542786146,1948.0,1,,-37.78213542616308
"(0.0256, 0.0189, 120, 120, 0.66)",0.9906498625789424,0.9399301750390732,0.0438867847778326,78.02095071614691,505.0,1,,-38.06371228027235
"(0.0439, 0.0107, 200, 180, 0.66)",0.8400819300339802,1.3182813352413147,0.0440310675127089,78.27745335592708,1810.0,1,,-38.34267581544227
"(0.0469, 0.0157, 120, 120, 0.5)",1.0994524681992437,0.8820157092710954,0.0446036520648421,79.29538144860851,459.0,1,,-38.59284190816985
"(0.0493, 0.008, 240, 180, 1.0)",1.2596501778290317,1.1124994421657664,0.0454316509006928,80.7673793790091,1006.0,1,,-39.16947116257621
"(0.0371, 0.0213, 200, 180, 1.0)",0.9620585101026976,2.0706633404626986,0.0453956445880461,80.70336815652658,1577.0,1,,-39.43502121274864
"(0.04, 0.0095, 160, 240, 1.0)",1.0252761554263816,1.3442410379090797,0.0454888365174399,80.86904269767082,478.0,1,,-39.45473402992647
"(0.0381, 0.012, 240, 120, 0.66)",0.9637037612483098,1.4520169130193197,0.0454377762095869,80.77826881704371,1655.0,1,,-39.47086842348313
"(0.0479, 0.0288, 200, 60, 0.33)",0.8723833674552759,1.3386326589556266,0.0455231891752562,80.93011408934423,474.0,1,,-39.63819686639209
"(0.0497, 0.0118, 200, 180, 0.66)",1.084927120381578,3.1293950681346865,0.0458828674978084,81.56954221832595,1356.0,1,,-39.745726856279205
"(0.0344, 0.0105, 320, 180, 0.5)",0.8936346307118459,1.1231386816975362,0.0457250654408985,81.28900522826399,931.0,1,,-39.79659304886105
"(0.0338, 0.0109, 200, 60, 0.33)",0.9263746507200032,1.1508412904166634,0.0461290103815878,82.00712956726717,2694.0,1,,-40.12331914329517
"(0.0411, 0.0057, 320, 60, 0.66)",0.9037490195270922,2.21726834297796,0.0465009306316827,82.66832112299169,3591.0,1,,-40.47691247260043
"(0.039, 0.0052, 160, 180, 1.0)",0.9126181802553788,1.153384960381406,0.0476995026050975,84.79911574239563,1076.0,1,,-41.534639193547534
"(0.0437, 0.0191, 240, 60, 0.33)",1.0374449659702296,1.1589099697352705,0.0478974575752357,85.15103568930797,942.0,1,,-41.585970336258995
"(0.0342, 0.0092, 320, 120, 0.66)",1.1498134126151158,1.2275514007403086,0.0482215959165498,85.727281629422,576.0,1,,-41.76204899801243
